chembl_id;organism;canonical_smiles;LD50 /mg.kg-1
CHEMBL15694;Mus musculus;Cc1cccc(C)c1NC(=O)CNC(=O)C1=CC(C)(C)NC1(C)C;53.0
CHEMBL156932;Mus musculus;CCOC(=O)Cc1ccc(C2=CSC3=NCCN23)cc1;180.0
CHEMBL156930;Rattus norvegicus;CCC(C)n1c(-c2ccc(OC)cc2)nc2c3ccccc3ccc21;1000.0
CHEMBL156911;Mus musculus;CSC(=Cc1ccc2ccccc2[n+]1C)SC.[I-];300.0
CHEMBL156799;Rattus norvegicus;Cc1cc(-c2nc3c4ccccc4ccc3n2C)cc(C)c1N(C)C;1000.0
CHEMBL15677;Rattus norvegicus;O=C(O)Cc1ccccc1Oc1ccc(Cl)cc1Cl;2500.0
CHEMBL156758;Mus musculus;CCOC(=O)NC1=NC(c2ccc(F)cc2)CN1C;200.0
CHEMBL156745;Mus musculus;COC(=O)NC1=NC(c2cccc(Cl)c2)CN1C;300.0
CHEMBL15673;Mus musculus;Cc1cccc(C)c1NC(=O)C(C)NCCCNC(=O)C1CC(C)(C)NC1(C)C;39.0
CHEMBL15665;Mus musculus;CC1(C)C=C(C(=O)NCCCNCc2ccccn2)C(C)(C)N1;102.0
CHEMBL15660;Mus musculus;COc1ccc(CCNC(=O)C2=CC(C)(C)NC2(C)C)cc1OC;123.0
CHEMBL15658;Mus musculus;CCN(CC)C(=O)COc1c(CNCCCNC(=O)C2=CC(C)(C)NC2(C)C)cccc1OC;2.1
CHEMBL156562;Mus musculus;CC1(C)CN2C(c3ccccc3)=CSC2=N1;60.0
CHEMBL156545;Mus musculus;COC(=O)NC1=NC(c2ccc(O)cc2)CN1;700.0
CHEMBL15649;Mus musculus;CC1(C)C=C(C(=O)NCCCN2C(=O)c3ccccc3C2=O)C(C)(C)N1;23.0
CHEMBL156466;Rattus norvegicus;COc1ccc(-c2nc3c4ccccc4ccc3n2C2CC2)cc1;1000.0
CHEMBL156460;Mus musculus;COC(=O)NC1=NC(c2cc(Br)ccc2Br)CN1C;500.0
